mission	type	title	item_C	item_R	item_A	item_P
STANDARD	EMERGENCY	CABIN ALTITUDE HI (EAP 10-3)	4. SPEEDBRAKE Lever	FULL		
STANDARD	EMERGENCY	CABIN ALTITUDE HI (EAP 10-3)	5. Altitude	10000FT OR MEA, WHICHEVER IS HIGHER		
STANDARD	EMERGENCY	CABIN ALTITUDE HI (EAP 10-3)	6. Airspeed	MAX APPROPRIATE		
STANDARD	EMERGENCY	CABIN ALTITUDE HI (EAP 10-3)	7. FSTN BELTS Switch	ON		
STANDARD	EMERGENCY	CABIN ALTITUDE HI (EAP 10-3)	8. Transponder	7700		
STANDARD	EMERGENCY	EMERGENCY DESCENT (NAP-13)	1. Thrust Levers	IDLE		
STANDARD	EMERGENCY	EMERGENCY DESCENT (NAP-13)	2. SPEEDBRAKE Lever	FULL		
STANDARD	EMERGENCY	EMERGENCY DESCENT (NAP-13)	3. Airspeed	MAX APPROPRIATE		
STANDARD	EMERGENCY	EMERGENCY DESCENT (NAP-13)	4. Altitude	10000FT OR MEA, WHICHEVER IS HIGHER		
STANDARD	EMERGENCY	EMERGENCY DESCENT (NAP-13)	5. Transponder	7700		
STANDARD	EMERGENCY	JAMMED STICK (NAP-27)	1. Cross-Side Sidestick AP/PB Button	PRESS AND HOLD FOR 20 SECONDS		
STANDARD	EMERGENCY	GEAR LEVER CANNOT BE MOVED UP (NAP-25)	If climb performance is required:			
STANDARD	EMERGENCY	GEAR LEVER CANNOT BE MOVED UP (NAP-25)	1. DOWN LOCK RELEASE Button	PRESS		
STANDARD	EMERGENCY	GEAR LEVER CANNOT BE MOVED UP (NAP-25)	2. LDG GEAR Lever	UP		
STANDARD	EMERGENCY	GEAR LEVER CANNOT BE MOVED UP (NAP-25)	If landing gear still down:			
STANDARD	EMERGENCY	GEAR LEVER CANNOT BE MOVED UP (NAP-25)	3. LDG ALTERNATE CTRL Switch	UP		
STANDARD	EMERGENCY	GEAR LEVER CANNOT BE MOVED UP (NAP-25)	4. LDG ALTERNATE CTRL Selector	ALTERNATE		
STANDARD	EMERGENCY	STEERING RUNWAY (NAP-26)	1. Nosewheel Steering	DISARM		
STANDARD	EMERGENCY	STEERING RUNWAY (NAP-26)	Use differential braking and rudder to steer the airplane.			
STANDARD	EMERGENCY	ENG 1 (2) FIRE	1. Autothrottle	DISENGAGE		
STANDARD	EMERGENCY	ENG 1 (2) FIRE	Affected Engine:			
STANDARD	EMERGENCY	ENG 1 (2) FIRE	2. Thrust Lever	IDLE		
STANDARD	EMERGENCY	ENG 1 (2) FIRE	3. POWER PLANT Knob	STOP		
STANDARD	EMERGENCY	ENG 1 (2) FIRE	4. FIRE PROTECTION Button	PUSH		
AIRDROP 	NORMAL	BEFORE START	SIGNS Panel	SET	RSP	
AIRDROP	    NORMAL	BEFORE START	EMER LT Panel	SET	RSP	
AIRDROP 	NORMAL	BEFORE START	     EMER LT Knob	ON	RSP	Verify the EMER LT ON and the EMER LT NOT ARMED messages displayed on the CAS.
AIRDROP 	NORMAL	BEFORE START	     EMER LT Knob	ARMED	RSP	
AIRDROP	    NORMAL	BEFORE START	Ice Protection WING Button (1)	PUSH OUT	RSP	
